deny,pirat,hirat,lvrat,chist,mhist,phist,unemp,selfemp,insurance,condomin,afam,single,hschool
0,0.33,0.33,0.87,1,2,0,3.1,0,0,1,1,1,1
1,0.38,0.29,0.99,6,2,0,3.2,0,0,1,1,1,1
0,0.34,0.25,0.9,6,2,0,3.2,0,0,1,1,0,1
0,0.28,0.27,0.47,1,2,0,3.2,0,0,0,0,0,1
1,0.39,0.33,0.9,6,2,1,4.3,0,0,1,1,1,1
0,0.36,0.21,0.47,1,1,0,3.2,0,0,0,0,0,1
0,0.25,0.23,0.31,1,1,0,2,0,0,0,0,0,1
0,0.38,0.33,0.8,1,2,0,3.2,0,0,0,0,0,1
0,0.32,0.28,0.65,1,1,0,2,0,0,0,0,0,1
0,0.29,0.26,0.65,5,2,0,2,0,0,1,1,0,1
0,0.27,0.21,0.56,2,1,0,1.8,0,0,0,0,1,1
0,0.32,0.29,0.9,1,1,0,3.2,0,0,0,1,0,1
0,0.3,0.24,0.48,1,2,0,3.6,0,0,0,1,1,1
0,0.34,0.29,0.9,1,2,0,3.2,0,0,0,0,1,1
0,0.37,0.27,0.65,1,2,0,3.2,0,0,1,0,1,1
0,0.37,0.24,0.59,1,2,0,3.2,1,0,1,1,0,1
0,0.38,0.32,0.32,1,2,0,3.6,0,0,0,0,0,1
0,0.35,0.31,0.9,1,2,0,3.9,0,0,1,1,1,1
0,0.34,0.29,0.95,2,2,0,5.3,0,0,0,1,0,1
0,0.27,0.21,0.89,6,2,0,3.6,0,0,0,0,0,1
0,0.35,0.26,0.9,2,2,0,3.2,0,0,0,0,1,1
1,0.39,0.26,0.9,6,2,0,3.2,0,0,1,1,1,1
1,0.39,0.24,0.78,2,2,0,4.3,1,0,0,0,1,1
0,0.3,0.17,0.4,1,1,0,3.1,0,0,0,0,0,1
0,0.29,0.29,0.71,1,1,0,1.8,0,0,0,0,0,1
0,0.35,0.34,0.8,1,2,0,3.6,0,0,1,0,0,1
0,0.39,0.27,0.83,1,1,0,2,0,0,0,0,1,1
0,0.36,0.28,0.9,6,2,0,3.9,0,0,0,1,1,1
0,0.26,0.26,0.74,1,1,0,1.8,0,0,1,0,1,1
0,0.36,0.23,0.74,1,1,0,3.2,0,0,1,0,1,1
0,0.27,0.22,0.77,1,2,0,3.9,0,0,0,0,0,1
0,0.36,0.2,0.8,5,2,0,3.1,0,0,1,0,1,1
0,0.3,0.2,0.88,1,2,0,3.1,0,0,1,1,0,1
0,0.39,0.29,0.91,1,2,0,2,0,0,1,1,0,1
0,0.31,0.3,0.9,1,2,0,1.8,0,0,0,0,0,1
1,0.43,0.21,0.56,2,1,0,3.2,1,0,1,0,0,1
1,0.4,0.26,0.53,6,2,1,3.2,0,1,0,1,0,1
0,0.34,0.23,0.88,6,2,0,3.1,0,0,0,1,1,1
1,0.41,0.41,0.9,4,2,0,3.6,1,0,0,0,0,1
1,0.23,0.13,0.34,1,2,0,3.6,0,0,0,0,0,1
1,0.73,0.37,0.46,1,1,0,3.2,1,0,0,0,1,1
0,0.38,0.35,0.58,1,2,0,2,0,0,1,1,1,1
0,0.38,0.36,0.61,1,2,0,3.1,0,0,1,1,1,1
0,0.32,0.22,0.9,1,2,0,10.6,0,0,1,0,0,0
0,0.29,0.25,0.85,1,2,0,3.9,0,0,0,0,0,1
0,0.24,0.24,0.26,1,2,0,1.8,0,0,1,0,1,1
0,0.19,0.12,0.73,2,2,0,3.2,0,0,1,0,1,1
0,0.29,0.26,0.57,6,2,0,1.8,0,0,1,1,1,1
0,0.38,0.27,0.61,2,2,0,3.2,0,0,1,1,1,1
0,0.38,0.28,0.61,6,2,0,3.2,1,0,1,1,1,1
0,0.34,0.22,0.81,1,2,0,3.2,0,0,0,1,0,1
0,0.39,0.28,0.61,6,2,0,3.9,0,0,1,1,1,1
0,0.39,0.3,0.8,6,2,0,3.9,0,0,1,1,1,1
0,0.28,0.28,0.83,5,2,0,3.6,0,0,0,0,0,1
0,0.31,0.26,0.9,1,2,0,3.6,0,0,0,0,0,1
0,0.38,0.21,0.8,1,2,0,3.6,1,0,1,0,1,1
0,0.33,0.29,0.89,1,2,0,3.9,0,0,0,1,1,1
0,0.29,0.26,0.89,1,2,0,3.9,0,0,1,1,1,1
0,0.33,0.3,0.75,1,2,0,1.8,0,0,1,0,1,1
0,0.34,0.32,0.93,1,2,0,2,0,0,0,1,1,1
0,0.34,0.31,0.86,1,2,0,10.6,0,0,0,0,0,0
1,0.3,0.26,0.95,5,2,0,3.9,0,0,0,1,1,1
0,0.32,0.27,0.79,1,2,0,3.1,0,0,1,0,0,1
0,0.25,0.21,0.69,1,2,0,4.3,0,0,1,0,0,1
0,0.29,0.25,0.75,2,2,0,10.6,1,0,0,0,0,1
0,0.27,0.27,0.8,6,2,0,3.2,0,0,0,0,1,1
0,0.28,0.25,0.9,2,2,0,4.3,1,0,0,0,1,1
0,0.32,0.29,0.56,1,1,0,1.8,1,0,1,0,1,1
0,0.35,0.19,0.74,2,2,0,3.9,1,0,0,0,0,1
0,0.3,0.3,0.48,4,2,0,1.8,0,0,1,0,1,1
0,0.32,0.26,0.53,5,1,0,3.2,0,0,0,0,0,0
0,0.4,0.28,0.41,1,2,0,3.2,1,0,0,0,1,1
0,0.28,0.25,0.75,2,2,0,2,0,0,0,0,0,1
0,0.35,0.29,0.75,2,2,0,3.9,0,0,0,0,1,1
0,0.12,0.12,0.69,1,2,0,1.8,0,0,0,0,0,1
0,0.34,0.27,1.91,1,2,0,3.1,0,0,1,0,1,1
0,0.21,0.18,0.52,1,2,0,10.6,1,0,0,0,0,1
0,0.28,0.28,0.47,1,1,0,1.8,0,0,0,0,0,1
0,0.29,0.28,0.74,1,1,0,3.2,0,0,0,0,0,1
0,0.3,0.25,0.77,5,1,0,10.6,0,0,0,0,0,1
0,0.36,0.28,0.74,3,2,0,3.1,0,0,0,0,0,1
0,0.32,0.27,0.56,1,1,0,3.9,0,0,0,0,0,1
1,0.32,0.32,0.69,1,1,0,3.2,0,0,0,0,0,1
0,0.26,0.2,0.74,5,1,0,3.2,0,0,0,0,0,1
0,0.26,0.21,0.71,2,1,0,3.6,0,0,0,0,0,1
1,0.32,0.26,0.79,2,1,0,1.8,1,0,1,0,1,1
0,0.42,0.33,0.8,3,3,1,3.2,0,0,0,1,1,1
0,0.34,0.33,0.64,5,2,0,1.8,0,0,1,0,1,1
0,0.37,0.34,0.88,1,2,0,3.1,0,0,0,0,0,1
0,0.29,0.28,0.59,1,2,0,2,0,0,0,0,1,1
0,0.35,0.31,0.72,1,2,0,1.8,0,0,0,0,1,1
0,0.4,0.27,0.8,1,2,0,4.3,0,0,1,0,1,1
0,0.36,0.3,0.93,1,2,0,3.2,0,0,1,0,1,1
0,0.38,0.27,0.7,1,1,0,3.9,0,0,0,0,0,1
0,0.37,0.26,0.58,1,1,0,2,0,0,0,0,0,1
0,0.41,0.23,0.71,1,1,0,1.8,0,0,0,0,1,1
0,0.32,0.31,0.28,1,2,0,3.2,0,0,1,0,1,1
0,0.33,0.26,0.95,1,2,0,4.3,0,0,0,0,0,1
0,0.33,0.26,0.82,1,2,0,10.6,0,0,0,0,0,1
0,0.29,0.21,0.31,1,2,0,3.2,0,0,0,0,1,1
0,0.37,0.11,0.34,6,1,0,3.2,1,0,0,0,1,1
0,0.36,0.2,0.9,6,2,1,5.3,0,0,0,0,1,1
0,0.37,0.3,0.76,1,2,0,3.6,0,0,0,0,0,1
0,0.3,0.3,0.53,1,1,0,5.3,0,0,0,0,1,1
0,0.34,0.34,0.81,1,2,0,3.6,0,0,0,0,0,1
0,0.42,0.26,0.75,2,2,0,3.2,1,0,0,0,0,1
0,0.2,0.08,0.11,1,1,0,3.2,0,0,1,0,0,1
0,0.3,0.29,0.53,2,1,0,3.1,0,0,0,0,0,1
0,0.38,0.27,0.93,2,1,0,3.2,0,0,0,0,0,1
0,0.34,0.31,0.92,6,2,0,5.3,0,0,0,0,1,1
0,0.29,0.26,0.67,1,1,0,4.3,1,0,0,0,0,1
0,0.32,0.29,0.92,1,2,0,3.1,0,0,0,0,0,1
0,0.36,0.3,0.94,2,2,0,3.2,0,0,0,0,0,1
0,0.41,0.3,0.65,1,1,0,3.2,0,0,0,0,0,1
0,0.32,0.28,0.47,1,2,0,1.8,0,0,1,0,1,1
0,0.38,0.31,0.82,1,2,0,10.6,0,0,0,1,0,1
0,0.2,0.04,0.49,3,1,0,3.6,0,0,1,0,1,1
0,0.28,0.22,0.92,4,2,0,3.1,0,0,0,0,1,1
0,0.25,0.25,0.56,4,2,0,3.1,0,0,0,0,0,1
0,0.29,0.28,0.58,1,2,0,3.2,0,0,0,0,0,1
1,0.49,0.37,0.92,2,1,0,3.2,0,0,0,0,1,1
0,0.33,0.24,0.89,1,2,0,3.1,0,0,0,0,0,1
0,0.45,0.21,0.8,2,1,0,3.1,0,0,0,0,0,1
1,0.41,0.35,0.92,1,2,0,4.3,0,1,0,0,1,1
0,0.35,0.28,0.84,1,2,0,3.1,0,0,0,0,0,1
0,0.35,0.3,0.35,2,3,0,3.9,0,0,0,0,0,1
0,0.08,0.07,0.73,1,2,0,3.9,1,0,0,0,0,1
0,0.25,0.25,0.5,1,2,0,4.3,0,0,0,0,1,1
0,0.48,0.15,0.73,1,2,0,4.3,0,0,0,0,0,1
0,0.36,0.01,1.47,1,2,0,1.8,1,0,1,0,0,1
0,0.32,0.31,0.84,1,2,0,10.6,0,0,0,0,0,1
0,0.27,0.2,0.84,1,2,0,10.6,0,0,0,0,0,1
0,0.34,0.27,0.79,1,1,0,3.2,0,0,0,0,0,1
0,0.33,0.3,0.78,6,2,1,3.2,0,0,0,0,1,1
0,0.28,0.33,0.63,1,2,1,3.2,0,0,0,0,0,1
0,0.34,0.26,0.9,2,1,0,3.2,0,0,0,0,0,1
0,0.37,0.36,0.76,1,2,0,3.2,0,0,0,0,1,1
0,0.3,0.26,0.73,4,2,0,3.2,0,0,0,0,1,1
0,0.36,0.33,0.69,1,2,0,1.8,0,0,0,0,0,1
0,0.36,0.2,0.5,3,4,0,3.6,1,0,0,0,0,1
0,0.25,0.19,0.73,2,2,0,3.2,1,0,0,0,1,1
0,0.14,0.13,0.35,4,1,0,1.8,0,0,0,0,0,1
0,0.44,0.2,0.42,1,1,0,10.6,1,0,1,0,0,1
0,0.45,0.3,1.15,1,2,0,3.2,0,0,0,0,0,1
0,0.37,0.26,0.8,1,2,0,10.6,1,0,0,0,0,1
0,0.34,0.3,0.8,1,1,0,4.3,0,0,0,0,0,1
0,0.27,0.17,0.79,3,3,0,3.1,0,0,1,0,0,1
0,0.23,0.23,0.64,2,2,0,5.3,0,0,0,0,0,1
0,0.34,0.29,0.95,1,2,0,3.2,0,0,0,0,1,1
0,0.33,0.26,0.73,2,2,0,5.3,0,0,0,0,1,1
0,0.38,0.27,0.79,1,2,0,3.2,0,0,0,0,1,1
0,0.34,0.32,0.77,1,1,0,2,0,0,0,0,0,1
0,0.28,0,0.63,1,2,0,3.2,0,0,0,0,0,1
0,0.41,0.12,0.49,1,1,0,3.6,0,0,0,0,0,1
0,0.36,0.3,0.52,1,1,0,3.2,0,0,0,0,0,1
0,0.31,0.23,0.78,1,2,0,3.1,0,0,0,0,0,1
0,0.37,0.28,0.72,1,2,0,4.3,0,0,0,0,0,1
0,0.31,0.26,0.88,1,2,0,4.3,0,0,0,0,1,1
0,0.28,0.2,0.81,1,1,0,3.6,0,0,1,0,0,1
0,0.35,0.2,0.5,3,1,0,5.3,0,0,0,0,0,1
0,0.33,0.27,0.71,1,2,0,3.6,0,0,0,0,1,1
0,0.32,0.26,0.47,3,3,0,10.6,0,0,0,0,0,1
1,0.26,0.26,0.78,1,1,0,3.2,0,1,1,0,0,1
1,0.34,0.18,0.5,2,1,0,10.6,0,0,0,0,0,1
1,0.34,0.18,0.5,2,1,0,10.6,0,0,0,0,0,1
0,0.36,0.28,0.72,1,2,0,3.6,0,0,0,0,0,1
0,0.38,0.2,0.88,1,1,0,1.8,1,0,0,0,0,1
0,0.3,0.28,0.86,2,2,0,3.2,0,0,0,1,0,1
0,0.54,0.54,0.75,4,2,0,3.2,0,0,0,0,1,1
0,0.35,0.34,0.62,4,2,0,3.1,0,0,0,0,0,1
0,0.39,0.27,0.92,6,2,0,3.1,0,0,1,0,1,1
1,0.43,0.32,0.79,6,3,0,3.2,1,0,0,0,0,1
1,0.43,0.43,0.8,2,2,1,3.9,1,0,0,0,0,1
0,0.15,0.05,0.66,6,1,0,10.6,0,0,0,0,0,1
0,0.34,0.28,0.9,1,2,0,4.3,0,0,0,0,1,1
0,0.31,0.21,0.7,2,1,0,1.8,0,0,1,0,1,1
0,0.37,0.28,0.91,2,2,0,3.2,0,0,0,0,0,1
0,0.31,0.27,0.88,1,2,0,5.3,0,0,0,0,0,1
0,0.3,0.2,0.89,1,2,0,3.2,0,0,1,0,0,1
0,0.16,0.16,0.2,1,1,0,10.6,0,0,0,0,0,1
0,0.36,0.23,0.84,1,2,0,3.1,0,0,0,0,0,1
0,0.36,0.28,0.73,1,2,0,2,0,0,0,0,0,1
0,0.4,0.3,0.7,1,2,0,3.9,0,0,0,0,0,1
0,0.37,0.3,0.84,1,2,0,3.2,0,0,1,0,1,1
0,0.28,0.22,0.47,1,1,0,3.2,1,0,0,0,0,1
0,0.43,0.35,0.51,5,2,1,3.2,0,0,0,0,0,1
0,0.36,0.27,0.86,1,1,1,3.2,0,0,0,0,0,1
0,0.24,0.24,0.63,1,2,0,4.3,1,0,0,0,0,1
0,0.47,0.47,0.65,1,1,0,4.3,1,0,0,0,0,1
0,0.08,0.08,0.64,4,2,0,3.2,0,0,1,1,1,1
0,0.24,0.23,0.57,1,1,0,5.3,0,0,0,0,0,1
0,0.22,0.21,0.65,1,2,0,3.2,0,0,0,0,0,1
0,0.14,0.12,0.32,1,1,0,3.2,0,0,0,0,0,1
0,0.21,0.16,0.29,1,1,0,3.1,0,0,0,0,0,1
0,0,0.29,0.63,1,1,0,3.1,0,0,0,0,0,1
1,0.21,0.21,0.78,1,2,0,3.1,0,0,1,0,1,1
0,0.39,0.33,0.15,1,1,0,3.9,0,0,1,0,0,1
0,0.3,0.26,0.62,1,2,0,3.2,0,0,0,0,1,1
0,0.36,0.29,0.8,2,2,0,3.2,0,0,0,0,0,1
0,0.28,0.27,0.55,2,1,0,4.3,0,0,0,0,0,1
0,0.26,0.24,0.8,1,2,0,3.9,0,0,0,0,0,1
0,0.28,0.21,0.69,2,2,0,3.9,0,0,0,0,1,1
0,0.3,0.2,0.33,2,1,0,3.2,1,0,0,0,0,0
0,0.31,0.29,0.31,2,1,0,4.3,0,0,0,0,0,1
0,0.3,0.26,0.76,5,2,0,3.1,0,0,0,0,0,1
0,0.2,0.18,0.45,2,1,0,3.2,0,0,1,0,0,1
0,0.27,0.17,0.71,6,2,0,3.2,0,0,0,0,0,1
1,0.32,0.31,0.8,3,2,0,2,0,0,0,0,1,1
0,0.45,0.24,0.6,6,1,0,1.8,0,0,0,0,0,1
0,0.36,0.18,0.7,1,1,0,3.1,0,0,0,0,0,1
0,0.25,0.24,0.66,1,1,0,4.3,0,0,0,0,1,1
0,0.24,0.23,0.4,1,2,0,3.6,0,0,1,0,1,1
0,0.28,0.27,0.34,1,1,0,1.8,0,0,0,0,0,1
1,0.42,0.33,1.18,5,1,0,3.2,1,0,0,0,1,1
1,0.39,0.39,0.63,2,3,0,10.6,0,0,0,0,1,1
1,0.34,0.23,0.73,2,2,0,3.2,0,0,0,0,0,1
0,0.27,0.21,0.83,1,2,0,2,0,0,1,0,1,1
1,0.35,0.27,0.88,1,2,0,3.9,0,0,0,0,0,1
0,0.35,0.29,0.55,1,2,0,2,0,0,1,0,0,1
0,0.32,0.23,0.8,3,2,0,3.1,0,0,1,0,1,1
1,0.32,0.28,0.8,1,2,0,3.2,0,0,1,0,1,1
0,0.37,0.3,0.9,1,2,0,3.9,0,0,1,0,1,1
0,0.35,0.26,0.9,6,2,1,3.2,0,0,1,1,1,1
0,0.44,0.32,0.9,6,2,1,3.2,0,0,1,1,1,1
0,0.4,0.29,0.89,6,2,1,1.8,0,0,1,1,0,1
0,0.29,0.27,0.71,1,2,0,1.8,0,0,1,1,1,1
0,0.41,0.27,0.95,5,2,1,3.2,0,0,1,1,1,1
0,0.25,0.22,0.83,3,2,0,10.6,0,0,1,1,0,1
0,0.4,0.23,0.8,5,1,0,3.2,0,0,1,0,1,1
0,0.43,0.26,0.91,5,2,1,1.8,1,0,1,1,0,1
0,0.41,0.26,0.9,6,2,1,2,0,0,1,1,0,1
0,0.49,0.28,0.88,5,2,0,3.2,0,0,1,0,0,1
